epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.753,1.93396,2.02638,1.06109,0.57523,0.575,0.56044,0.31811,1.50272,2.6426,0.92695,0.00041675,0.00041675,0.00041675
2,756.231,1.62684,1.05431,0.93305,0.21684,0.50953,0.15645,0.08916,1.63927,6.80625,0.96061,0.000833337,0.000833337,0.000833337
3,1126.66,1.64335,1.03399,0.92698,0.36513,0.58666,0.31163,0.18164,1.44834,3.14698,0.91587,0.00123276,0.00123276,0.00123276
4,1493.48,1.53586,0.9272,0.91254,0.61802,0.69617,0.59374,0.36662,1.38937,1.46397,0.90522,0.00156798,0.00156798,0.00156798
5,1882.48,1.53029,0.90621,0.90926,0.8406,0.73705,0.81958,0.50955,1.34497,0.81267,0.8919,0.00153497,0.00153497,0.00153497
6,2260.69,1.49031,0.86944,0.90594,0.83009,0.75207,0.83471,0.52182,1.28584,0.76527,0.88547,0.00150197,0.00150197,0.00150197
7,2623.15,1.45823,0.85353,0.89549,0.82063,0.7595,0.81498,0.52733,1.20964,0.74657,0.87491,0.00146896,0.00146896,0.00146896
8,2981.43,1.40632,0.82036,0.88418,0.83603,0.75763,0.84619,0.56547,1.16051,0.71333,0.86784,0.00143595,0.00143595,0.00143595
9,3344.27,1.39885,0.8078,0.8804,0.8374,0.78658,0.86049,0.56583,1.17848,0.74369,0.86706,0.00140295,0.00140295,0.00140295
10,3706.45,1.41814,0.80862,0.88082,0.85022,0.76511,0.85028,0.55712,1.19512,0.69078,0.87301,0.00136994,0.00136994,0.00136994
11,4060.36,1.38174,0.79452,0.88072,0.85349,0.78691,0.86684,0.56149,1.22068,0.70052,0.87006,0.00133693,0.00133693,0.00133693
12,4414.28,1.39889,0.77832,0.87861,0.86355,0.78383,0.86663,0.58756,1.12987,0.68445,0.86127,0.00130393,0.00130393,0.00130393
13,4770.13,1.31533,0.74978,0.87547,0.84801,0.77975,0.86479,0.57127,1.19836,0.68842,0.86799,0.00127092,0.00127092,0.00127092
14,5277.3,1.29794,0.73878,0.87328,0.85955,0.78955,0.86375,0.58457,1.14034,0.68865,0.86469,0.00123791,0.00123791,0.00123791
15,5831.24,1.38497,0.77127,0.87783,0.84112,0.77368,0.85943,0.55686,1.20281,0.69306,0.86827,0.00120491,0.00120491,0.00120491
16,6407.22,1.33697,0.75138,0.87431,0.85824,0.78442,0.86917,0.57813,1.13022,0.67097,0.86207,0.0011719,0.0011719,0.0011719
17,6951.99,1.34985,0.74251,0.87347,0.85103,0.78221,0.87144,0.58949,1.13197,0.67043,0.86141,0.00113889,0.00113889,0.00113889
18,7500.71,1.31398,0.7333,0.86686,0.85866,0.79092,0.87458,0.59168,1.13608,0.64228,0.86059,0.00110589,0.00110589,0.00110589
19,8027.46,1.32519,0.73571,0.86903,0.85644,0.79924,0.8787,0.59783,1.11978,0.66219,0.86027,0.00107288,0.00107288,0.00107288
20,8608.8,1.31532,0.72378,0.86439,0.85502,0.82176,0.8852,0.60157,1.12968,0.64779,0.86109,0.00103987,0.00103987,0.00103987
21,9161.02,1.28459,0.69415,0.86327,0.86206,0.80731,0.8845,0.59972,1.1319,0.63139,0.85966,0.00100687,0.00100687,0.00100687
22,9737.54,1.28781,0.69903,0.86536,0.85476,0.80549,0.88302,0.5979,1.1187,0.63909,0.85871,0.000973861,0.000973861,0.000973861
23,10241.4,1.269,0.70503,0.86123,0.83817,0.80704,0.87501,0.57582,1.16088,0.68229,0.86147,0.000940855,0.000940855,0.000940855
24,10861.6,1.23666,0.68621,0.8577,0.86143,0.80988,0.88306,0.59828,1.1252,0.64172,0.85808,0.000907848,0.000907848,0.000907848
25,11461.4,1.26543,0.69796,0.85218,0.86553,0.80555,0.88761,0.60491,1.09144,0.619,0.85661,0.000874842,0.000874842,0.000874842
26,12041.5,1.26819,0.6884,0.85872,0.8473,0.81245,0.88005,0.53957,1.26656,0.67316,0.87097,0.000841835,0.000841835,0.000841835
27,12565.5,1.27843,0.68878,0.85995,0.87185,0.81037,0.89128,0.60796,1.113,0.62637,0.85589,0.000808828,0.000808828,0.000808828
28,12944.9,1.26471,0.68908,0.85956,0.86782,0.8076,0.88771,0.61475,1.07918,0.61247,0.85342,0.000775822,0.000775822,0.000775822
29,13406.6,1.18889,0.65064,0.85373,0.86536,0.81532,0.89171,0.6273,1.05597,0.59584,0.85224,0.000742815,0.000742815,0.000742815
30,13846,1.22922,0.66577,0.85611,0.86441,0.81726,0.89105,0.61813,1.09191,0.60539,0.85447,0.000709809,0.000709809,0.000709809
31,14253.9,1.18871,0.65582,0.85623,0.87234,0.81016,0.89196,0.60626,1.10251,0.60747,0.85545,0.000676802,0.000676802,0.000676802
32,14637.8,1.26331,0.6787,0.85161,0.84881,0.80818,0.88279,0.58407,1.18416,0.66335,0.86185,0.000643795,0.000643795,0.000643795
33,15014.6,1.20622,0.65426,0.85503,0.87568,0.80973,0.89207,0.62177,1.08061,0.60246,0.85317,0.000610789,0.000610789,0.000610789
34,15393.7,1.27653,0.66741,0.86079,0.87411,0.81027,0.89246,0.61339,1.08726,0.59901,0.85402,0.000577782,0.000577782,0.000577782
35,15864.4,1.1971,0.64374,0.8548,0.87512,0.8131,0.89664,0.62067,1.07364,0.59556,0.8523,0.000544776,0.000544776,0.000544776
36,16376.3,1.17617,0.63198,0.84695,0.87213,0.82472,0.89802,0.62914,1.06312,0.58189,0.85118,0.000511769,0.000511769,0.000511769
37,16881.7,1.18536,0.63742,0.84996,0.87413,0.82064,0.89723,0.62989,1.06017,0.58519,0.85163,0.000478762,0.000478762,0.000478762
38,17375.5,1.20254,0.6463,0.84957,0.87194,0.81382,0.89125,0.61207,1.09367,0.61863,0.85308,0.000445756,0.000445756,0.000445756
39,17867,1.14456,0.62204,0.84842,0.87666,0.81286,0.89672,0.60937,1.12568,0.59193,0.85556,0.000412749,0.000412749,0.000412749
40,18335.2,1.17544,0.62471,0.84386,0.85909,0.82274,0.89881,0.60355,1.13189,0.60267,0.85727,0.000379743,0.000379743,0.000379743
41,18814.5,1.14518,0.64677,0.8548,0.86488,0.82227,0.89585,0.62987,1.06105,0.58406,0.85079,0.000346736,0.000346736,0.000346736
42,19298.8,1.10554,0.60617,0.8492,0.87021,0.81702,0.89572,0.62074,1.07176,0.58583,0.85016,0.000313729,0.000313729,0.000313729
43,19763.4,1.10052,0.60369,0.84762,0.87398,0.81818,0.89734,0.62194,1.08425,0.58386,0.85129,0.000280723,0.000280723,0.000280723
44,20105.1,1.07089,0.58409,0.8486,0.86866,0.82586,0.89838,0.62352,1.08613,0.58741,0.8508,0.000247716,0.000247716,0.000247716
45,20449.4,1.0917,0.58879,0.84723,0.85622,0.83399,0.89814,0.63245,1.04897,0.57545,0.84821,0.00021471,0.00021471,0.00021471
46,20789.7,1.07518,0.57993,0.84563,0.86302,0.82354,0.89746,0.61847,1.09206,0.58591,0.85184,0.000181703,0.000181703,0.000181703
47,21131.4,1.08321,0.58359,0.8449,0.87253,0.82166,0.90021,0.636,1.04145,0.56555,0.84766,0.000148696,0.000148696,0.000148696
48,21470.5,1.07528,0.57651,0.84289,0.86215,0.8321,0.90169,0.63728,1.044,0.56578,0.84721,0.00011569,0.00011569,0.00011569
49,21818.3,1.0432,0.5647,0.84379,0.87141,0.82726,0.90286,0.63556,1.04861,0.56301,0.84762,8.26832e-05,8.26832e-05,8.26832e-05
50,22266,1.05739,0.56373,0.84084,0.87289,0.82412,0.90247,0.63699,1.03784,0.55778,0.84668,4.96766e-05,4.96766e-05,4.96766e-05
